Class Name,Config Option,Description
BatchExecutionOptions,execution.batch.adaptive.auto-parallelism.enabled,"If true, Flink will automatically decide the parallelism of operators in batch jobs."
BatchExecutionOptions,execution.batch.adaptive.auto-parallelism.min-parallelism,"The lower bound of allowed parallelism to set adaptively if <code class=""highlighter-rouge"">jobmanager.scheduler</code> has been set to <code class=""highlighter-rouge"">AdaptiveBatch</code>"
BatchExecutionOptions,execution.batch.adaptive.auto-parallelism.max-parallelism,"The upper bound of allowed parallelism to set adaptively if <code class=""highlighter-rouge"">jobmanager.scheduler</code> has been set to <code class=""highlighter-rouge"">AdaptiveBatch</code>"
BatchExecutionOptions,execution.batch.adaptive.auto-parallelism.avg-data-volume-per-task,"The average size of data volume to expect each task instance to process if <code class=""highlighter-rouge"">jobmanager.scheduler</code> has been set to <code class=""highlighter-rouge"">AdaptiveBatch</code>. Note that when data skew occurs or the decided parallelism reaches the <code class=""highlighter-rouge"">execution.batch.adaptive.auto-parallelism.max-parallelism</code> (due to too much data), the data actually processed by some tasks may far exceed this value."
BatchExecutionOptions,execution.batch.adaptive.auto-parallelism.default-source-parallelism,"The default parallelism of source vertices or the upper bound of source parallelism to set adaptively if <code class=""highlighter-rouge"">jobmanager.scheduler</code> has been set to <code class=""highlighter-rouge"">AdaptiveBatch</code>. Note that <code class=""highlighter-rouge"">execution.batch.adaptive.auto-parallelism.max-parallelism</code> will be used if this configuration is not configured. If <code class=""highlighter-rouge"">execution.batch.adaptive.auto-parallelism.max-parallelism</code> is not set either, then the default parallelism set via <code class=""highlighter-rouge"">parallelism.default</code> will be used instead."
BatchExecutionOptions,execution.batch.speculative.enabled,Controls whether to enable speculative execution.
BatchExecutionOptions,execution.batch.speculative.max-concurrent-executions,"Controls the maximum number of execution attempts of each operator that can execute concurrently, including the original one and speculative ones."
BatchExecutionOptions,execution.batch.speculative.block-slow-node-duration,Controls how long an detected slow node should be blocked for.
BatchExecutionOptions,execution.batch.job-recovery.enabled,"A flag to enable or disable the job recovery. If enabled, batch jobs can resume with previously generated intermediate results after job master restarts due to failures, thereby preserving the progress."
BatchExecutionOptions,execution.batch.job-recovery.previous-worker.recovery.timeout,"The timeout for a new job master to wait for the previous worker to reconnect.A reconnected worker will transmit the details of its produced intermediate results to the new job master, enabling the job master to reuse these results."
BatchExecutionOptions,execution.batch.job-recovery.snapshot.min-pause,The minimal pause between snapshots taken by operator coordinator or other components. It is used to avoid performance degradation due to excessive snapshot frequency.
WebOptions,web.address,Address for runtime monitor web-frontend server.
WebOptions,web.port,
WebOptions,web.access-control-allow-origin,Access-Control-Allow-Origin header for all responses from the web-frontend.
WebOptions,web.refresh-interval,Refresh interval for the web-frontend.
WebOptions,web.ssl.enabled,Flag indicating whether to override SSL support for the JobManager Web UI.
WebOptions,web.tmpdir,Local directory that is used by the REST API for temporary files.
WebOptions,web.upload.dir,"Local directory that is used by the REST API for storing uploaded jars. If not specified a dynamic directory will be created under <code class=""highlighter-rouge"">web.tmpdir</code>."
WebOptions,web.history,Number of archived jobs for the JobManager.
WebOptions,web.log.path,Path to the log file (may be in /log for standalone but under log directory when using YARN).
WebOptions,web.submit.enable,Flag indicating whether jobs can be uploaded and run from the web-frontend.
WebOptions,web.cancel.enable,Flag indicating whether jobs can be canceled from the web-frontend.
WebOptions,web.rescale.enable,Flag indicating whether jobs can be rescaled from the web-frontend.
WebOptions,web.checkpoints.history,Number of checkpoints to remember for recent history.
WebOptions,web.exception-history-size,The maximum number of failures collected by the exception history per job.
WebOptions,web.backpressure.cleanup-interval,This config option is no longer used
WebOptions,web.backpressure.refresh-interval,This config option is no longer used
WebOptions,web.backpressure.num-samples,This config option is no longer used
WebOptions,web.backpressure.delay-between-samples,This config option is no longer used
WebOptions,web.timeout,Timeout for asynchronous operations by the web monitor.
AlgorithmOptions,taskmanager.runtime.hashjoin-bloom-filters,"Flag to activate/deactivate bloom filters in the hybrid hash join implementation. In cases where the hash join needs to spill to disk (datasets larger than the reserved fraction of memory), these bloom filters can greatly reduce the number of spilled records, at the cost some CPU cycles."
AlgorithmOptions,taskmanager.runtime.max-fan,"The maximal fan-in for external merge joins and fan-out for spilling hash tables. Limits the number of file handles per operator, but may cause intermediate merging/partitioning, if set too small."
AlgorithmOptions,taskmanager.runtime.sort-spilling-threshold,A sort operation starts spilling when this fraction of its memory budget is full.
AlgorithmOptions,taskmanager.runtime.large-record-handler,Whether to use the LargeRecordHandler when spilling. If a record will not fit into the sorting buffer. The record will be spilled on disk and the sorting will continue with only the key. The record itself will be read afterwards when merging.
DeploymentOptions,execution.target,"The deployment target for the execution. This can take one of the following values when calling <code class=""highlighter-rouge"">bin/flink run</code>:<ul><li>remote</li><li>local</li><li>yarn-per-job (deprecated)</li><li>yarn-session</li><li>kubernetes-session</li></ul>And one of the following values when calling <code class=""highlighter-rouge"">bin/flink run-application</code>:<ul><li>yarn-application</li><li>kubernetes-application</li></ul>"
DeploymentOptions,execution.attached,Specifies if the pipeline is submitted in attached or detached mode.
DeploymentOptions,execution.shutdown-on-attached-exit,"If the job is submitted in attached mode, perform a best-effort cluster shutdown when the CLI is terminated abruptly, e.g., in response to a user interrupt, such as typing Ctrl + C."
DeploymentOptions,execution.job-listeners,Custom JobListeners to be registered with the execution environment. The registered listeners cannot have constructors with arguments.
DeploymentOptions,execution.shutdown-on-application-finish,Whether a Flink Application cluster should shut down automatically after its application finishes (either successfully or as result of a failure). Has no effect for other deployment modes.
DeploymentOptions,execution.submit-failed-job-on-application-error,If a failed job should be submitted (in the application mode) when there is an error in the application driver before an actual job submission. This is intended for providing a clean way of reporting failures back to the user and is especially useful in combination with 'execution.shutdown-on-application-finish'. This option only works when the single job submission is enforced ('high-availability.type' is enabled). Please note that this is an experimental option and may be changed in the future.
DeploymentOptions,execution.program-config.wildcards,List of configuration keys that are allowed to be set in a user program regardless whether program configuration is enabled or not.<br /><br />Currently changes that are not backed by the Configuration class are always allowed.
DeploymentOptions,execution.program-config.enabled,"Determines whether configurations in the user program are allowed. By default, configuration can be set both on a cluster-level (via options) or within the user program (i.e. programmatic via environment setters). If disabled, all configuration must be defined on a cluster-level and programmatic setters in the user program are prohibited.<br /><br />Depending on your deployment mode failing the job might have different implications. Either your client that is trying to submit the job to an external cluster (session cluster deployment) throws the exception or the job manager (application mode deployment).<br /><br />The 'execution.program-config.wildcards' option lists configuration keys that are allowed to be set in user programs regardless of this setting."
